Dataset,Experiment,Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC
FVC2000,-,KNN,0.999375,0.999377,0.999375,0.999375,1.0
FVC2000,-,SVM,0.995938,0.996002,0.995938,0.995948,0.999999
SOCOFing,Easy,KNN,0.5208,0.61125,0.63305,0.5169,0.7135
SOCOFing,Easy,SVM,0.8017,0.7522,0.81025,0.7668,0.8895
SOCOFing,Medium,KNN,0.774,0.7522,0.8237,0.7532,0.923
SOCOFing,Medium,SVM,0.9439,0.91635,0.94695,0.93,0.988
SOCOFing,Hard,KNN,0.8871,0.85915,0.89915,0.8732,0.9702
SOCOFing,Hard,SVM,0.9756,0.9664,0.97635,0.9712,0.9972
SOCOFing,Combined,KNN,0.6196,0.5986,0.75285,0.539,0.8527
SOCOFing,Combined,SVM,0.8676,0.71415,0.87085,0.7558,0.9485
