Condition,Model,Fit Time (s),Fit Time (min),Predict (ms/sample),Feature Extraction (min),Total Cell Time (min),N Test
FVC2000,KNN,4.18,0.07,0.07188,2.9,3.0,3200
FVC2000,SVM,5.818,0.1,0.33855,2.9,3.03,3200
SOCOFing_Easy,KNN,83.013,1.38,1.72749,17.85,19.37,4785
SOCOFing_Easy,SVM,4663.123,77.72,6.26535,24.2,102.42,4785
SOCOFing_Medium,KNN,64.971,1.08,1.31615,16.17,17.36,4602
SOCOFing_Medium,SVM,3137.494,52.29,3.5726,9.44,62.0,4602
SOCOFing_Hard,KNN,123.115,2.05,2.34155,18.0,20.21,4011
SOCOFing_Hard,SVM,2799.39,46.66,2.2486,8.04,54.85,4011
SOCOFing_Combined,KNN,107.831,1.8,1.85492,76.85,78.98,10998
SOCOFing_Combined,SVM,3327.544,55.46,4.51518,21.12,77.41,10998
